<<<<<<< HEAD
name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,1st_serve_effect
Yuichi Sugita,Japan,JPN,Richard Gasquet,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-3 6-1 6-3,FALSE,2.23
Yannick Maden,Germany,GER,Rafael Nadal,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-1 6-2 6-4,FALSE,2.22
Denis Shapovalov,Canada,CAN,Novak Djokovic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,6-3 6-4 4-6 6-0,FALSE,2.21
Taro Daniel,Japan,JPN,Denis Shapovalov,Canada,CAN,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 7-6(2) 6-3,FALSE,2.21
Marin Cilic,Croatia,CRO,Thomas Fabbiano,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 7-5 6-1,TRUE,2.2
Andrey Rublev,Russian Federation,RUS,Jeremy Chardy,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 4-6 6-4 6-1,FALSE,2.2
Borna Coric,Croatia,CRO,Lucas Pouille,France,FRA,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-7(4) 6-4 7-5 7-6(2),FALSE,2.19
Marcos Baghdatis,Cyprus,CYP,Lucas Pouille,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(4) 6-4 6-4 6-3,FALSE,2.18
Jordan Thompson,Australia,AUS,Andreas Seppi,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 6-4 6-4,FALSE,2.17
Jozef Kovalik,Slovakia,SVK,Robin Haase,Netherlands,NED,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-1 6-3 6-1,FALSE,2.17
Alexander Bublik,Russian Federation,RUS,Gregoire Barrere,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 6-4 6-3 6-3,FALSE,2.16
Mikhail Kukushkin,Kazakhstan,KAZ,John Millman,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 4-6 6-1 6-3,FALSE,2.16
Stefanos Tsitsipas,Greece,GRE,Rafael Nadal,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,SF,6-2 6-4 6-0,FALSE,2.15
Alexander Zverev,Germany,GER,Dusan Lajovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,6-4 6-2 4-6 1-6 6-2,TRUE,2.15
Cameron Norrie,United Kingdom,GBR,Elliot Benchetrit,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-0 6-2,FALSE,2.13
Benoit Paire,France,FRA,Roberto Bautista Agut,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R16,6-3 7-5 6-2,FALSE,2.13
Ricardas Berankis,Lithuania,LTU,Hyeon Chung,"Korea, Republic of",KOR,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 7-6(6) 6-0 2-0 RET,FALSE,2.11
Frances Tiafoe,United States,USA,Rafael Nadal,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,QF,6-3 6-4 6-2,FALSE,2.11
Marton Fucsovics,Hungary,HUN,Diego Sebastian Schwartzman,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 3-6 7-6(7) 2-6 6-2,FALSE,2.11
Maxime Janvier,France,FRA,Pablo Cuevas,Uruguay,URU,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-4 6-4 6-2,FALSE,2.1
Alexander Bublik,Russian Federation,RUS,Dominic Thiem,Austria,AUT,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-3 6-7(6) 6-3 7-5,FALSE,2.09
Corentin Moutet,France,FRA,Nicolas Mahut,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 7-5 5-7 6-4,FALSE,2.09
Casper Ruud,Norway,NOR,Roger Federer,Switzerland,SUI,5/26/2019,Roland Garros,G,5,C,FALSE,48,R32,6-3 6-1 7-6(8),FALSE,2.07
Felix Auger Aliassime,Canada,CAN,Ugo Humbert,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,6-4 7-5 6-3,FALSE,2.07
Marius Copil,Romania,ROU,Marcel Granollers,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-3 6-4 6-4,TRUE,2.07
Filip Krajinovic,Serbia,SRB,Marco Cecchinato,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,4-6 0-6 6-1 7-6(8) 6-4,TRUE,2.06
Matthew Ebden,Australia,AUS,Rafael Nadal,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 6-2 6-2,FALSE,2.06
Sam Querrey,United States,USA,Andreas Seppi,Italy,ITA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-7(6) 6-4 6-2 2-1 RET,FALSE,2.06
Nicolas Jarry,Chile,CHI,Andreas Seppi,Italy,ITA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-3 6-7(8) 6-1 6-2,FALSE,2.05
Dominik Koepfer,Germany,GER,Diego Sebastian Schwartzman,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-0 6-3 7-5,FALSE,2.04
Grigor Dimitrov,Bulgaria,BUL,Janko Tipsarevic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,4-6 6-3 6-1 6-4,TRUE,2.04
Christopher Eubanks,United States,USA,Nikoloz Basilashvili,Georgia,GEO,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 4-6 7-6(6) 6-3,FALSE,2.04
Guido Andreozzi,Argentina,ARG,Stefano Travaglia,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-7(3) 6-2 6-3 6-2,FALSE,2.04
Thomas Fabbiano,Italy,ITA,Marin Cilic,Croatia,CRO,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 7-5 6-1,FALSE,2.03
Dominik Koepfer,Germany,GER,Filip Krajinovic,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-3 4-6 7-6(9) 6-1,TRUE,2.02
Tennys Sandgren,United States,USA,Radu Albot,"Moldova, Republic of",MDA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(3) 7-6(1) 3-6 6-1,FALSE,2.02
Kyle Edmund,United Kingdom,GBR,Fernando Verdasco,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,4-6 4-6 7-6(3) 6-3 6-4,FALSE,2.02
Daniil Medvedev,Russian Federation,RUS,Novak Djokovic,Serbia,SRB,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-4 6-7(5) 6-2 6-3,FALSE,2.01
Matteo Berrettini,Italy,ITA,Roger Federer,Switzerland,SUI,7/1/2019,Wimbledon,G,5,G,FALSE,76,R16,6-1 6-2 6-2,FALSE,2.01
Pablo Andujar,Spain,ESP,Denis Shapovalov,Canada,CAN,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-2 6-3 7-6(3),FALSE,2
Karen Khachanov,Russian Federation,RUS,Peter Gojowczyk,Germany,GER,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,3-6 6-3 6-4 6-2,TRUE,1.99
Mikhail Kukushkin,Kazakhstan,KAZ,Noah Rubin,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-3 6-1 4-6 7-6(3),TRUE,1.98
Diego Sebastian Schwartzman,Argentina,ARG,Marton Fucsovics,Hungary,HUN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 3-6 7-6(7) 2-6 6-2,TRUE,1.97
Reilly Opelka,United States,USA,Thomas Fabbiano,Italy,ITA,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-7(15) 6-2 6-4 3-6 7-6(5),FALSE,1.97
Denis Kudla,United States,USA,Novak Djokovic,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 6-2 6-2,FALSE,1.96
Alexander Zverev,Germany,GER,John Millman,Australia,AUS,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(4) 6-3 2-6 6-7(5) 6-3,TRUE,1.96
Juan Martin Del Potro,Argentina,ARG,Karen Khachanov,Russian Federation,RUS,5/26/2019,Roland Garros,G,5,C,FALSE,48,R16,7-5 6-3 3-6 6-3,FALSE,1.96
Filip Krajinovic,Serbia,SRB,Borna Coric,Croatia,CRO,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,2-6 6-3 6-4 6-3,FALSE,1.96
Bernard Tomic,Australia,AUS,Taylor Harry Fritz,United States,USA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-1 6-4 6-1,FALSE,1.95
Juan Martin Del Potro,Argentina,ARG,Yoshihito Nishioka,Japan,JPN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,5-7 6-4 6-2 6-7(5) 6-2,TRUE,1.95
Quentin Halys,France,FRA,Kei Nishikori,Japan,JPN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-2 6-3 6-4,FALSE,1.94
Marius Copil,Romania,ROU,Marin Cilic,Croatia,CRO,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 6-1 1-1 RET,FALSE,1.93
Gilles Simon,France,FRA,Tennys Sandgren,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-2 6-3 4-6 3-6 8-6,FALSE,1.93
Nicolas Mahut,France,FRA,Alexander Zverev,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-4 6-4 6-2,FALSE,1.93
Alexander Zverev,Germany,GER,Milos Raonic,Canada,CAN,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-1 6-1 7-6(5),FALSE,1.92
Gilles Simon,France,FRA,Salvatore Caruso,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-1 6-2 6-4,FALSE,1.91
Joao Sousa,Portugal,POR,Kei Nishikori,Japan,JPN,1/14/2019,Australian Open,G,5,H,FALSE,85,R32,7-6(6) 6-1 6-2,FALSE,1.91
Mackenzie Mcdonald,United States,USA,Yoshihito Nishioka,Japan,JPN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-7(7) 6-0 4-6 6-2 6-3,FALSE,1.91
Jo Wilfried Tsonga,France,FRA,Rafael Nadal,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,6-2 6-3 6-2,FALSE,1.91
Jason Kubler,Australia,AUS,Taylor Harry Fritz,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-3 3-6 6-3 RET,FALSE,1.91
Alexander Zverev,Germany,GER,Jiri Vesely,Czech Republic,CZE,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-3 6-2 7-5,FALSE,1.9
Matteo Berrettini,Italy,ITA,Denis Kudla,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-4 7-5 6-2,FALSE,1.9
Vasek Pospisil,Canada,CAN,Lukas Lacko,Slovakia,SVK,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 6-3 6-2,TRUE,1.9
Jaume Munar,Spain,ESP,Diego Sebastian Schwartzman,Argentina,ARG,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-2 6-0 5-7 6-2,FALSE,1.9
Kevin Anderson,South Africa,RSA,Guido Pella,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,6-4 6-3 7-6(4),FALSE,1.9
John Millman,Australia,AUS,Federico Delbonis,Argentina,ARG,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-3 3-6 7-6(3) 6-2,TRUE,1.9
Marcos Baghdatis,Cyprus,CYP,Matteo Berrettini,Italy,ITA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-1 7-6(4) 6-3,FALSE,1.9
Joao Sousa,Portugal,POR,Pablo Carreno Busta,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-1 6-2,FALSE,1.89
Alexander Zverev,Germany,GER,Novak Djokovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,QF,7-5 6-2 6-2,FALSE,1.89
Alexei Popyrin,Australia,AUS,Daniil Medvedev,Russian Federation,RUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-7(6) 6-1 6-4 6-4,FALSE,1.89
Steve Darcis,Belgium,BEL,Roberto Bautista Agut,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 6-2 4-2 RET,FALSE,1.89
Cameron Norrie,United Kingdom,GBR,Kei Nishikori,Japan,JPN,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-4 6-4 6-0,FALSE,1.89
Corentin Moutet,France,FRA,Felix Auger Aliassime,Canada,CAN,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 4-6 6-4 6-2,FALSE,1.88
Marin Cilic,Croatia,CRO,Marius Copil,Romania,ROU,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 6-1 1-1 RET,TRUE,1.88
Marin Cilic,Croatia,CRO,Alex De Minaur,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R32,4-6 3-6 6-3 6-4 7-5,TRUE,1.87
Tennys Sandgren,United States,USA,Gilles Simon,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-2 6-3 4-6 3-6 8-6,TRUE,1.87
Denis Shapovalov,Canada,CAN,Felix Auger Aliassime,Canada,CAN,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 5-7 4-1 RET,TRUE,1.86
Jaume Munar,Spain,ESP,Kyle Edmund,United Kingdom,GBR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-4 6-4 6-4,FALSE,1.85
Damir Dzumhur,Bosnia and Herzegovina,BIH,Antonie Hoang,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-4 0-6 7-6(5) 6-3,FALSE,1.85
Pierre Hugues Herbert,France,FRA,Yuki Bhambri,India,IND,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-3 7-6(3) 7-5,TRUE,1.85
Marin Cilic,Croatia,CRO,Joao Sousa,Portugal,POR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-4 6-4 6-4,FALSE,1.84
Julien Benneteau,France,FRA,Jan Lennard Struff,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-2 4-6 6-1 3-6 6-3,FALSE,1.84
Martin Klizan,Slovakia,SVK,Jeremy Chardy,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 6-0 6-3 6-4,FALSE,1.84
Fabio Fognini,Italy,ITA,Andreas Seppi,Italy,ITA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-0 3-6 6-3,TRUE,1.84
Marius Copil,Romania,ROU,Guido Pella,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,7-6(11) 5-7 6-3 6-4,FALSE,1.84
Lloyd George Muirhead Harris,South Africa,RSA,Gilles Simon,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 6-2 6-3,FALSE,1.84
Jordan Thompson,Australia,AUS,Cameron Norrie,United Kingdom,GBR,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-5 4-6 6-4 6-3,FALSE,1.84
Michael Mmoh,United States,USA,Fabio Fognini,Italy,ITA,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 6-2 6-4 7-6(4),FALSE,1.84
Benoit Paire,France,FRA,Kei Nishikori,Japan,JPN,5/26/2019,Roland Garros,G,5,C,FALSE,48,R16,6-2 6-7(8) 6-2 6-7(8) 6-2,FALSE,1.83
Tomas Berdych,Czech Republic,CZE,Taylor Harry Fritz,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-4 6-4 6-3,FALSE,1.83
Marcel Granollers,Spain,ESP,Joao Sousa,Portugal,POR,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 6-2 6-3,FALSE,1.83
Ilya Ivashka,Belarus,BLR,Pablo Carreno Busta,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-2 6-3 7-6(7),FALSE,1.83
Grigor Dimitrov,Bulgaria,BUL,Stan Wawrinka,Switzerland,SUI,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-3 6-2 7-5,FALSE,1.83
Alexander Zverev,Germany,GER,Aljaz Bedene,Slovenia,SLO,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 6-1 6-4,TRUE,1.83
Casper Ruud,Norway,NOR,Guido Pella,Argentina,ARG,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-4 6-4 6-1,FALSE,1.83
Damir Dzumhur,Bosnia and Herzegovina,BIH,Dusan Lajovic,Serbia,SRB,8/27/2018,US Open,G,5,H,FALSE,61,R128,3-6 6-1 6-3 6-4,FALSE,1.83
Roberto Bautista Agut,Spain,ESP,Benoit Paire,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R16,6-3 7-5 6-2,TRUE,1.83
Radu Albot,"Moldova, Republic of",MDA,Jan Lennard Struff,Germany,GER,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-4 6-3 6-2,FALSE,1.82
Denis Kudla,United States,USA,Marc Polmans,Australia,AUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,5-7 1-6 6-2 6-3 6-2,TRUE,1.82
Ernests Gulbis,Latvia,LAT,Leonardo Mayer,Argentina,ARG,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-1 7-6(12) 6-2,FALSE,1.81
Feliciano Lopez,Spain,ESP,Jordan Thompson,Australia,AUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-1 7-6(0) 6-3,FALSE,1.81
Jan Lennard Struff,Germany,GER,David Goffin,Belgium,BEL,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 6-1 7-6(4),FALSE,1.81
Aljaz Bedene,Slovenia,SLO,Nikoloz Basilashvili,Georgia,GEO,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 4-6 6-2 2-6 6-4,FALSE,1.81
Jan Lennard Struff,Germany,GER,Julien Benneteau,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-2 4-6 6-1 3-6 6-3,TRUE,1.8
Marcel Granollers,Spain,ESP,Marius Copil,Romania,ROU,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-3 6-4 6-4,FALSE,1.8
Jeremy Chardy,France,FRA,Andrey Rublev,Russian Federation,RUS,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 4-6 6-4 6-1,TRUE,1.8
Roger Federer,Switzerland,SUI,Nick Kyrgios,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 6-1 7-5,TRUE,1.8
Jeremy Chardy,France,FRA,Martin Klizan,Slovakia,SVK,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,3-6 6-0 6-3 6-4,TRUE,1.79
Roberto Carballes Baena,Spain,ESP,Miomir Kecmanovic,Serbia,SRB,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,2-6 6-3 6-3 6-1,FALSE,1.79
Denis Shapovalov,Canada,CAN,Jan Lennard Struff,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(1) 6-3 6-4,FALSE,1.79
Adrian Mannarino,France,FRA,Kevin Anderson,South Africa,RSA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-3 5-7 6-2 6-1,FALSE,1.78
Jan Lennard Struff,Germany,GER,Mikhail Kukushkin,Kazakhstan,KAZ,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,6-3 7-6(5) 4-6 7-5,FALSE,1.78
Roberto Carballes Baena,Spain,ESP,Mitchell Krueger,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,3-6 6-2 6-4 7-6(3),TRUE,1.78
Gael Monfils,France,FRA,Adrian Mannarino,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-3 6-4 6-4,TRUE,1.78
Leonardo Mayer,Argentina,ARG,Diego Sebastian Schwartzman,Argentina,ARG,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,4-6 6-3 6-4 7-5,TRUE,1.77
Leonardo Mayer,Argentina,ARG,Laslo Djere,Serbia,SRB,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-4 6-4 4-6 2-1 RET,FALSE,1.77
Sam Querrey,United States,USA,Andrey Rublev,Russian Federation,RUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-3 6-2 6-3,TRUE,1.77
Robin Haase,Netherlands,NED,Mackenzie Mcdonald,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 4-6 6-3 6-1 6-3,TRUE,1.76
Paul Jubb,United Kingdom,GBR,Joao Sousa,Portugal,POR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-0 6-3 6-7(8) 6-1,FALSE,1.76
Stefano Travaglia,Italy,ITA,Hubert Hurkacz,Poland,POL,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 2-6 7-6(6) 3-0 RET,FALSE,1.76
Matthew Ebden,Australia,AUS,Gregoire Barrere,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 5-7 7-5 6-1,FALSE,1.76
Ryan Harrison,United States,USA,Daniil Medvedev,Russian Federation,RUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R64,6-3 6-3 6-3,FALSE,1.76
Cedrik Marcel Stebe,Germany,GER,Karen Khachanov,Russian Federation,RUS,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-1 6-1 6-4,FALSE,1.76
Roberto Carballes Baena,Spain,ESP,Borna Coric,Croatia,CRO,8/27/2018,US Open,G,5,H,FALSE,61,R64,7-6(4) 6-2 6-3,FALSE,1.76
Jan Lennard Struff,Germany,GER,Novak Djokovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R16,6-3 6-2 6-2,FALSE,1.75
Lorenzo Sonego,Italy,ITA,Marcel Granollers,Spain,ESP,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,7-6(4) 6-4 6-4,FALSE,1.75
Marin Cilic,Croatia,CRO,Roberto Bautista Agut,Spain,ESP,1/14/2019,Australian Open,G,5,H,FALSE,85,R16,6-7(6) 6-3 6-2 4-6 6-4,FALSE,1.75
Marin Cilic,Croatia,CRO,David Goffin,Belgium,BEL,8/27/2018,US Open,G,5,H,FALSE,61,R16,7-6(6) 6-2 6-4,TRUE,1.75
Alex De Minaur,Australia,AUS,Pablo Carreno Busta,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-3 6-1 6-1,FALSE,1.75
Alexei Popyrin,Australia,AUS,Ugo Humbert,France,FRA,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,3-6 6-3 7-6(10) 6-3,TRUE,1.75
Daniel Evans,United Kingdom,GBR,Fernando Verdasco,Spain,ESP,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-7(4) 6-3 6-2,FALSE,1.74
Benoit Paire,France,FRA,Dennis Novak,Austria,AUT,8/27/2018,US Open,G,5,H,FALSE,61,R128,7-6(6) 3-6 7-5 7-6(5),TRUE,1.74
Pablo Carreno Busta,Spain,ESP,Alexei Popyrin,Australia,AUS,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,7-6(2) 7-5 6-2,FALSE,1.74
Fabio Fognini,Italy,ITA,John Millman,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-1 4-6 6-4 6-1,FALSE,1.73
Kimmer Coppejans,Belgium,BEL,Yannick Maden,Germany,GER,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,7-6(0) 7-5 6-3,FALSE,1.73
Kei Nishikori,Japan,JPN,Diego Sebastian Schwartzman,Argentina,ARG,8/27/2018,US Open,G,5,H,FALSE,61,R32,6-4 6-4 5-7 6-1,TRUE,1.73
Paolo Lorenzi,Italy,ITA,Kyle Edmund,United Kingdom,GBR,8/27/2018,US Open,G,5,H,FALSE,61,R128,4-6 6-4 7-5 6-1,TRUE,1.73
