,Player,Play Style,Winners/UFE Ratio,Final Number of Games Won,Aces Won,Double Faults,Unforced Errors,Unnamed: 7,Unnamed: 8,Unnamed: 9,Cluster
53,Milos Raonic,Serve and Volleyer,1.0,2.0,39.0,11.0,28.0,,,,3.0
54,Milos Raonic,Serve and Volleyer,0.0,3.0,9.0,2.0,38.0,,,,2.0
55,Milos Raonic,Serve and Volleyer,1.0,3.0,28.0,4.0,31.0,,,,3.0
56,Milos Raonic,Serve and Volleyer,2.0,3.0,28.0,6.0,25.0,,,,3.0
57,Milos Raonic,Serve and Volleyer,1.282051282,1.0,21.0,5.0,39.0,,,,3.0
58,Milos Raonic,Serve and Volleyer,1.315789474,0.0,16.0,1.0,38.0,,,,3.0
59,Milos Raonic,Serve and Volleyer,1.6551724140000001,3.0,21.0,7.0,29.0,,,,3.0
60,Milos Raonic,Serve and Volleyer,1.6944444440000002,2.0,16.0,2.0,36.0,,,,3.0
61,Milos Raonic,Serve and Volleyer,1.75,3.0,27.0,2.0,36.0,,,,3.0
62,Milos Raonic,Serve and Volleyer,1.785714286,0.0,24.0,5.0,42.0,,,,3.0
63,Novak Djokovic,Defensive Baseliner,0.0,1.0,6.0,2.0,38.0,,,,2.0
64,Novak Djokovic,Defensive Baseliner,2.0,3.0,3.0,2.0,38.0,,,,2.0
65,Novak Djokovic,Defensive Baseliner,2.0,3.0,5.0,1.0,25.0,,,,1.0
66,Novak Djokovic,Defensive Baseliner,0.0,3.0,9.0,6.0,29.0,,,,1.0
67,Novak Djokovic,Defensive Baseliner,2.0,3.0,10.0,1.0,40.0,,,,2.0
68,Novak Djokovic,Defensive Baseliner,2.0,3.0,13.0,2.0,28.0,,,,1.0
69,Novak Djokovic,Defensive Baseliner,0.590909091,0.0,2.0,0.0,22.0,,,,1.0
70,Novak Djokovic,Defensive Baseliner,0.72,2.0,5.0,2.0,75.0,,,,0.0
71,Novak Djokovic,Defensive Baseliner,0.75,2.0,7.0,1.0,60.0,,,,0.0
72,Novak Djokovic,Defensive Baseliner,0.838709677,1.0,5.0,0.0,31.0,,,,2.0
73,Novak Djokovic,Defensive Baseliner,0.904761905,0.0,2.0,2.0,42.0,,,,2.0
74,Novak Djokovic,Defensive Baseliner,1.115384615,1.0,1.0,2.0,26.0,,,,1.0
75,Novak Djokovic,Defensive Baseliner,1.333333333,3.0,10.0,0.0,30.0,,,,1.0
76,Novak Djokovic,Defensive Baseliner,1.3478260869999998,3.0,6.0,1.0,23.0,,,,1.0
77,Novak Djokovic,Defensive Baseliner,1.571428571,3.0,7.0,2.0,21.0,,,,1.0
78,Novak Djokovic,Defensive Baseliner,1.84,1.0,11.0,0.0,25.0,,,,1.0
79,Novak Djokovic,Defensive Baseliner,2.727272727,3.0,12.0,2.0,11.0,,,,1.0
80,Pablo Cuevas,Defensive Baseliner,0.0,1.0,17.0,6.0,38.0,,,,3.0
81,Pablo Cuevas,Defensive Baseliner,0.58974359,0.0,2.0,4.0,39.0,,,,2.0
82,Pablo Cuevas,Defensive Baseliner,0.947368421,0.0,5.0,6.0,57.0,,,,0.0
83,Rafael Nadal,Aggressive Baseliner,2.0,3.0,1.0,1.0,36.0,,,,2.0
84,Rafael Nadal,Aggressive Baseliner,0.0,3.0,2.0,0.0,28.0,,,,1.0
85,Rafael Nadal,Aggressive Baseliner,0.0,3.0,3.0,0.0,38.0,,,,2.0
86,Rafael Nadal,Aggressive Baseliner,2.0,3.0,3.0,1.0,35.0,,,,2.0
87,Rafael Nadal,Aggressive Baseliner,0.0,3.0,3.0,2.0,25.0,,,,1.0
88,Rafael Nadal,Aggressive Baseliner,1.0,3.0,3.0,5.0,22.0,,,,1.0
89,Rafael Nadal,Aggressive Baseliner,0.59375,1.0,1.0,3.0,32.0,,,,2.0
90,Rafael Nadal,Aggressive Baseliner,0.6,2.0,5.0,1.0,40.0,,,,2.0
91,Rafael Nadal,Aggressive Baseliner,0.8,1.0,1.0,0.0,25.0,,,,1.0
92,Rafael Nadal,Aggressive Baseliner,0.893617021,3.0,3.0,7.0,47.0,,,,2.0
93,Rafael Nadal,Aggressive Baseliner,0.931034483,2.0,5.0,2.0,29.0,,,,1.0
94,Rafael Nadal,Aggressive Baseliner,1.12,3.0,3.0,1.0,25.0,,,,1.0
95,Rafael Nadal,Aggressive Baseliner,1.166666667,3.0,2.0,0.0,18.0,,,,1.0
96,Rafael Nadal,Aggressive Baseliner,1.285714286,3.0,12.0,1.0,28.0,,,,1.0
97,Rafael Nadal,Aggressive Baseliner,1.386363636,2.0,6.0,3.0,44.0,,,,2.0
98,Rafael Nadal,Aggressive Baseliner,1.4,1.0,5.0,2.0,25.0,,,,1.0
99,Rafael Nadal,Aggressive Baseliner,1.5384615380000002,0.0,2.0,4.0,26.0,,,,1.0
100,Rafael Nadal,Aggressive Baseliner,1.8235294119999998,1.0,5.0,0.0,17.0,,,,1.0
101,Rafael Nadal,Aggressive Baseliner,2.0526315790000003,3.0,7.0,1.0,19.0,,,,1.0
102,Rafael Nadal,Aggressive Baseliner,2.6,1.0,5.0,1.0,5.0,,,,1.0
103,Roberto Bautista Agut,Defensive Baseliner,1.0,1.0,2.0,5.0,39.0,,,,2.0
104,Roberto Bautista Agut,Defensive Baseliner,2.0,3.0,1.0,1.0,37.0,,,,2.0
105,Roberto Bautista Agut,Defensive Baseliner,0.6,1.0,5.0,1.0,45.0,,,,2.0
106,Roberto Bautista Agut,Defensive Baseliner,0.913043478,3.0,4.0,1.0,23.0,,,,1.0
107,Roberto Bautista Agut,Defensive Baseliner,1.0,3.0,1.0,1.0,1.0,,,,1.0
108,Roberto Bautista Agut,Defensive Baseliner,1.220338983,3.0,12.0,6.0,59.0,,,,0.0
109,Roberto Bautista Agut,Defensive Baseliner,1.5,2.0,6.0,0.0,18.0,,,,1.0
110,Roberto Bautista Agut,Defensive Baseliner,1.545454545,0.0,1.0,0.0,11.0,,,,1.0
111,Roger Federer,All Court,1.0,0.0,5.0,0.0,25.0,,,,1.0
112,Roger Federer,All Court,0.0,3.0,6.0,2.0,25.0,,,,1.0
113,Roger Federer,All Court,0.0,3.0,8.0,4.0,27.0,,,,1.0
114,Roger Federer,All Court,0.0,3.0,12.0,2.0,29.0,,,,1.0
115,Roger Federer,All Court,0.68,0.0,8.0,1.0,50.0,,,,0.0
116,Roger Federer,All Court,0.735294118,1.0,0.0,3.0,34.0,,,,2.0
117,Roger Federer,All Court,1.071428571,2.0,9.0,2.0,56.0,,,,0.0
118,Roger Federer,All Court,1.285714286,3.0,10.0,0.0,42.0,,,,2.0
119,Roger Federer,All Court,1.4857142859999999,3.0,11.0,0.0,35.0,,,,2.0
120,Roger Federer,All Court,1.636363636,0.0,3.0,,33.0,,,,1.0
121,Roger Federer,All Court,1.736842105,0.0,10.0,0.0,19.0,,,,1.0
122,Roger Federer,All Court,1.764705882,3.0,11.0,5.0,17.0,,,,1.0
123,Roger Federer,All Court,1.80952381,0.0,7.0,0.0,21.0,,,,1.0
124,Roger Federer,All Court,1.9444444440000002,3.0,6.0,1.0,18.0,,,,1.0
125,Roger Federer,All Court,2.047619048,3.0,7.0,1.0,21.0,,,,3.0
126,Sam Querrey,Serve and Volleyer,0.0,1.0,25.0,7.0,39.0,,,,3.0
127,Sam Querrey,Serve and Volleyer,0.0,3.0,24.0,4.0,37.0,,,,2.0
128,Sam Querrey,Serve and Volleyer,0.658536585,0.0,10.0,1.0,41.0,,,,3.0
129,Sam Querrey,Serve and Volleyer,1.044444444,3.0,24.0,4.0,45.0,,,,2.0
130,Sam Querrey,Serve and Volleyer,1.135135135,1.0,10.0,1.0,37.0,,,,0.0
131,Sam Querrey,Serve and Volleyer,1.22,0.0,9.0,7.0,50.0,,,,1.0
132,Sam Querrey,Serve and Volleyer,1.392857143,2.0,8.0,6.0,28.0,,,,1.0
133,Sam Querrey,Serve and Volleyer,1.428571429,3.0,19.0,4.0,21.0,,,,2.0
134,Stanislas Wawrinka,Aggressive Baseliner,1.0,2.0,8.0,7.0,40.0,,,,1.0
135,Stanislas Wawrinka,Aggressive Baseliner,1.0,3.0,4.0,4.0,20.0,,,,2.0
136,Stanislas Wawrinka,Aggressive Baseliner,2.0,3.0,7.0,2.0,40.0,,,,1.0
137,Stanislas Wawrinka,Aggressive Baseliner,2.0,3.0,9.0,5.0,26.0,,,,2.0
138,Stanislas Wawrinka,Aggressive Baseliner,0.0,3.0,11.0,5.0,38.0,,,,3.0
139,Stanislas Wawrinka,Aggressive Baseliner,2.0,3.0,14.0,6.0,31.0,,,,2.0
140,Stanislas Wawrinka,Aggressive Baseliner,0.575,2.0,3.0,4.0,40.0,,,,0.0
141,Stanislas Wawrinka,Aggressive Baseliner,0.85,3.0,17.0,5.0,60.0,,,,0.0
142,Stanislas Wawrinka,Aggressive Baseliner,1.081632653,3.0,19.0,2.0,49.0,,,,0.0
143,Stanislas Wawrinka,Aggressive Baseliner,1.1,0.0,9.0,3.0,50.0,,,,0.0
144,Stanislas Wawrinka,Aggressive Baseliner,1.163265306,3.0,18.0,4.0,49.0,,,,2.0
145,Stanislas Wawrinka,Aggressive Baseliner,1.326086957,3.0,9.0,4.0,46.0,,,,3.0
146,Stanislas Wawrinka,Aggressive Baseliner,1.515151515,0.0,19.0,6.0,33.0,,,,2.0
147,Stanislas Wawrinka,Aggressive Baseliner,1.540540541,3.0,14.0,3.0,37.0,,,,1.0
148,Stanislas Wawrinka,Aggressive Baseliner,1.6551724140000001,1.0,9.0,2.0,29.0,,,,0.0
149,Stanislas Wawrinka,Aggressive Baseliner,1.672727273,0.0,13.0,6.0,55.0,,,,1.0
150,Stanislas Wawrinka,Aggressive Baseliner,2.090909091,2.0,4.0,1.0,11.0,,,,
151,,,,,,,,,,,
152,,,,,,,,1.165777949,1.814569536,35.50993377,
